,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
226,loggedout,,,10158124,housegroup,housegroup,345221-346017,forsale,2440,l,,,,,,,,,,,,,,,,1,119988,rdkbouw,property_developer,,,,,classifieddetails,en
227,loggedout,,,10158132,house,house,497000,forsale,3600,l,,2009,good,gas,134,4,1317,,true,,true,true,,,,,3587131,eranobis,agency,,,,,classifieddetails,en
228,loggedout,,,10133958,apartment,apartment,320000,forsale,1200,xl,hyperequipped,1953,justrenovated,fueloil,203,1,,,true,,true,,,,,,1355753,j&amp;jproperties,agency,,,,,classifieddetails,en
229,loggedout,,,10134100,apartment,apartment,465000,forsale,9820,xl,installed,2012,good,gas,117,2,,,,,,,,1,,,3835654,convas,agency,,,,,classifieddetails,en
230,loggedout,,,10156003,apartment,apartment,163794,forsale,7100,xl,usahyperequipped,2021,,gas,57,1,,,true,,true,,,1,,1,3530190,trevilogis,agency,,,,,classifieddetails,en
231,loggedout,,,10156001,apartment,apartment,192554,forsale,7100,xl,usahyperequipped,2018,,gas,86,2,,,true,,true,,,1,,1,3530190,trevilogis,agency,,,,,classifieddetails,en
232,loggedout,,,10157012,apartment,apartment,342175,forsale,9770,xl,installed,2022,asnew,gas,,3,,,,,true,,,,,1,2118760,landbergh,agency,,,,,classifieddetails,en
233,loggedout,,,10153246,apartment,apartment,379000,forsale,1030,xl,notinstalled,1961,torenovate,gas,,2,,,true,,true,,,1,,,1229100,directimmo,agency,,,,,classifieddetails,en
234,loggedout,,,10153247,apartment,apartment,379000,forsale,1200,xl,notinstalled,1961,torenovate,gas,,2,,,true,,true,,,1,,,1229100,directimmo,agency,,,,,classifieddetails,en
235,loggedout,,,10145548,apartment,apartment,214900,forsale,6800,xl,,2023,asnew,gas,85,2,,,true,,true,,,,1,1,3346893,honestylibramont-7bureauxprochesdechezvous,agency,,,,,classifieddetails,en
236,loggedout,,,10145547,apartment,apartment,229900,forsale,6890,xl,,2022,asnew,gas,119,2,,,true,,true,,,,,1,3346893,honestylibramont-7bureauxprochesdechezvous,agency,,,,,classifieddetails,en
237,loggedout,,,10143355,apartment,flatstudio,180000,forsale,1180,xl,hyperequipped,1973,good,gas,88,0,,,true,,,,,19,19,,1699105,gesteasprl,real_estate_agency,,,,,classifieddetails,en
238,loggedout,,,10142974,apartment,apartment,192500,forsale,1030,xl,usainstalled,1936,justrenovated,gas,144,1,,,,,true,,,,,,2161,rainbowproperties,agency,,,,,classifieddetails,en
239,loggedout,,,10142946,apartment,apartment,280000,forsale,1000,xl,installed,1975,good,gas,199,2,,,,,true,,,1,,,145409,expertissimmo,agency,,,,,classifieddetails,en
240,loggedout,,,10142945,apartment,apartment,290000,forsale,1030,xl,notinstalled,1920,torenovate,gas,243,2,,,true,,,,,,,,145409,expertissimmo,agency,,,,,classifieddetails,en
241,loggedout,,,10144016,apartment,duplex,455000,forsale,1180,xl,installed,1980,tobedoneup,gas,244,3,,,,,true,,,,,,3830374,cg.properties,agency,,,,,classifieddetails,en
242,loggedout,,,10143662,apartment,duplex,455000,forsale,1180,xl,installed,1980,tobedoneup,gas,244,2,,,,,true,,,,,,3830374,cg.properties,agency,,,,,classifieddetails,en
243,loggedout,,,10132395,apartment,penthouse,520000,forsale,1140,xl,usahyperequipped,2022,asnew,gas,52,3,,,true,,true,,,,1,1,2352,latouretpetitvente,agency,,,,,classifieddetails,en
244,loggedout,,,10142996,apartment,apartment,1145000,forsale,8300,xl,hyperequipped,1987,good,gas,228,2,,,true,,true,,,1,1,,285802,cambier-denil,agency,,,,,classifieddetails,en
245,loggedout,,,10146392,apartment,apartment,270000,forsale,6700,xl,semiequipped,1984,good,gas,259,3,,,true,,true,,,1,,,695471,doublevimmobilière,agency,,,,,classifieddetails,en
246,loggedout,,,10152365,apartment,apartment,420000,forsale,1325,xl,installed,2022,,gas,35,2,,,,,true,,,,2,1,1821912,trustrealestatesprl,agency,,,,,classifieddetails,en
247,loggedout,,,9977911,apartment,penthouse,1995000,forsale,1050,xl,hyperequipped,,asnew,gas,109,4,,,,,true,,,,3,1,3729553,dewaelebrusselssouth,agency,,,,,classifieddetails,en
248,loggedout,,,10107002,apartment,apartment,140000,forsale,4431,xl,semiequipped,1950,good,electric,847,2,,,true,,,,,,,,1701,optimum,agency,,,,,classifieddetails,en
249,loggedout,,,10156761,apartment,apartment,230000,forsale,1080,xl,semiequipped,1987,tobedoneup,gas,325,2,,,true,,true,,,1,,,1483,century21berthouts-,agency,,,,,classifieddetails,en
250,loggedout,,,10156375,apartment,apartment,249000,forsale,1020,xl,installed,1936,good,,588,2,,,,,true,,,,,,2959413,residency,agency,,,,,classifieddetails,en
251,loggedout,,,10156453,apartment,apartment,255000,forsale,1210,xl,installed,2011,,electric,261,1,,,true,,,,,,,,3823799,immo-time,agency,,,,,classifieddetails,en
252,loggedout,,,10155234,apartment,apartment,269000,forsale,1200,xl,usasemiequipped,1975,good,,106,2,,,,,true,,,,,,3860091,homerunrealestate,agency,,,,,classifieddetails,en
