,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
80,loggedout,,,10143472,apartmentgroup,apartmentgroup,399000-775000,forsale,1325,xl,,,,,,,,,,,,,,,2,1,2946270,immodussartchaumont-gistoux,agency,,,,,classifieddetails,en
81,loggedout,,,10152284,apartment,flatstudio,250500,forsale,1160,xl,usahyperequipped,2022,asnew,,55,0,,,true,,true,,,1,1,1,1364801,victoire(immobilierneuf),real_estate_agency,,,,,classifieddetails,en
82,loggedout,,,10155188,apartment,apartment,210000,forsale,4000,xl,installed,1993,good,,162,3,,,,,true,,,,,,3502683,nigelimmo,agency,,,,,classifieddetails,en
83,loggedout,,,10110541,apartment,penthouse,249000,forsale,8490,xl,installed,2014,good,gas,114,2,,,true,,true,,,1,,,3878559,immowoon!,agency,,,,,classifieddetails,en
84,loggedout,,,10141588,apartmentgroup,apartmentgroup,22500-339750,forsale,9170,xl,,,,,,,,,,,,,,,,1,2278,smetvastgoed&amp;landmeten,agency,,,,,classifieddetails,en
85,loggedout,,,10141426,apartment,apartment,145000,forsale,4540,xl,installed,1994,good,electric,178,1,,,,,true,,,,,,2222,trevirasquain,agency,,,,,classifieddetails,en
86,loggedout,,,10142206,apartment,apartment,215000,forsale,1050,xl,semiequipped,1923,good,gas,213,1,,,true,,,,,,,,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
87,loggedout,,,10142123,apartmentgroup,apartmentgroup,235000-470000,forsale,8790,xl,,,,,,,,,,,,,,,,1,1600308,dewaele-woonvastgoedwaregem,agency,,,,,classifieddetails,en
88,loggedout,,,10141695,apartmentgroup,apartmentgroup,244900-254900,forsale,2830,xl,,,,,,,,,,,,,,,,1,2935516,heylenvastgoedheist-op-den-berg,agency,,,,,classifieddetails,en
89,loggedout,,,10052020,apartment,apartment,249000,forsale,1200,xl,installed,1956,tobedoneup,gas,341,1,,,true,,,,,,,,145409,expertissimmo,agency,,,,,classifieddetails,en
90,loggedout,,,10140797,apartmentgroup,apartmentgroup,260000-260000,forsale,9000,xl,,,,,,,,,,,,,,,10,1,1989885,immodavinci,agency,,,,,classifieddetails,en
91,loggedout,,,10140738,apartmentgroup,apartmentgroup,270000-535000,forsale,8800,xl,,,,,,,,,,,,,,1,1,1,1670089,zabrarealestate,property_developer,,,,,classifieddetails,en
92,loggedout,,,10140583,apartment,apartment,340000,forsale,1200,xl,semiequipped,1964,good,gas,255,3,,,true,,true,,,1,,,145409,expertissimmo,agency,,,,,classifieddetails,en
93,loggedout,,,10130388,apartment,apartment,375000,forsale,9800,xl,hyperequipped,2022,asnew,gas,1,2,,,true,,true,,,,1,1,1989885,immodavinci,agency,,,,,classifieddetails,en
94,loggedout,,,10142174,apartment,apartment,410000,forsale,3010,xl,installed,2007,good,gas,209,2,,,true,,true,,,1,,,751548,immoschroevenbvba,agency,,,,,classifieddetails,en
95,loggedout,,,10142207,apartment,penthouse,849000,forsale,1030,xl,hyperequipped,1920,good,gas,224,3,,,,,true,true,,,,,2575488,weinvestbruxelles,agency,,,,,classifieddetails,en
96,loggedout,,,10148189,apartment,flatstudio,180000,forsale,9000,xl,semiequipped,1993,good,electric,363,1,,,,,,,,,,,3835654,convas,agency,,,,,classifieddetails,en
97,loggedout,,,10146858,apartment,flatstudio,189000,forsale,1180,xl,installed,1975,asnew,electric,231,1,,,,,,,,,,,3860091,homerunrealestate,agency,,,,,classifieddetails,en
98,loggedout,,,10146820,apartment,apartment,340000,forsale,1050,xl,hyperequipped,2022,asnew,gas,91,1,,,true,,,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
99,loggedout,,,10146817,apartment,apartment,435000,forsale,1050,xl,hyperequipped,2022,asnew,gas,84,1,,,true,,,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
100,loggedout,,,10146818,apartment,apartment,470000,forsale,1050,xl,hyperequipped,2022,asnew,gas,93,1,,,true,,true,,,,,,2475430,newdealproperties,agency,,,,,classifieddetails,en
